factor,ic

adv_alpha_20,0.296
adv_calmar_20,0.167
adv_percentile,0.114
fz_vp_momentum_ratio,0.099
adv_information_ratio,0.096
dh_mf_net_flow_5,0.076
dh_mf_inflow_ratio,0.054
fz_vp_cumulative,0.049
