date,avg_return,holding_period,top_n,valid_count,cumulative_return
2020-02-10,0.0021034721365250668,5,10,10,1.0021034721365252
2020-02-20,-0.004355006699548917,5,10,10,0.9977393048017293
2020-02-25,-0.02909729157941851,5,10,10,0.968707793329667
2020-03-06,-0.01099494359173235,5,10,10,0.9580569057851358
2020-03-11,-0.021449960522788913,5,10,10,0.9375066229774593
2020-03-16,0.0063568858476281105,5,10,10,0.9434662455611225
2020-03-26,-0.011006273570777181,5,10,10,0.9330821979576827
2020-03-31,0.016631840764652985,5,10,10,0.9486010724944474
2020-04-10,0.0021081264097686215,5,10,10,0.9506008434677078
2020-04-15,0.01028398041664943,5,10,10,0.9603768039259801
2020-04-20,-0.004139215061020956,5,10,10,0.9564015977949145
2020-05-15,0.002858224841730728,5,10,10,0.959135208600403
2020-05-20,-0.002307072393565287,5,10,10,0.9569224142389445
2020-05-25,0.004553166887672097,5,10,10,0.9612794416895286
2020-06-04,-4.863346052112698e-05,5,10,10,0.9612326913437514
2020-06-09,0.0010972069202118309,5,10,10,0.9622873625046275
2020-06-19,-0.0048413906300789015,5,10,10,0.9576285534843543
2020-06-24,0.0012311566774560246,5,10,10,0.9588075442724991
2020-06-29,0.006136222750690742,5,10,10,0.9646910009391979
2020-07-09,0.011932558288414847,5,10,10,0.9762022325382141
2020-07-14,-0.0161496523908952,5,10,10,0.9604369058195061
2020-07-24,0.010195708286049628,5,10,10,0.9702292403383979
2020-07-29,0.021313043522351492,5,10,10,0.990907778364388
2020-08-03,-0.007896591053619246,5,10,10,0.983082984866794
2020-08-13,0.025993827450852346,5,10,10,1.0086370743452904
2020-08-18,-0.011432166787588956,5,10,10,0.9971061670832293
2020-08-28,0.005727979804936141,5,10,10,1.0028175710716594
2020-09-02,-0.013855170826299553,5,10,10,0.9889233623168467
2020-09-07,-0.009021291311026159,5,10,10,0.980001996581107
2020-09-17,0.00027514523420867884,5,10,10,0.9802716394599813
2020-09-22,-0.010293144288656625,5,10,10,0.9701815620329418
2020-10-12,-0.00010367651793344174,5,10,10,0.970080976986827
2020-10-22,-0.0035289469276031035,5,10,10,0.9666576127035632
2020-10-27,-0.003910074831587226,5,10,10,0.9628779091013688
2020-11-06,-0.0013771936432803683,5,10,10,0.9615518397656994
2020-11-11,-0.0022264772737793496,5,10,10,0.9594109664469003
2020-11-16,0.006223245005264189,5,10,10,0.9653816159518366
2020-11-26,0.003645643163349828,5,10,10,0.968901052840055
2020-12-01,0.001726831301320292,5,10,10,0.9705741815059814
2020-12-11,-0.00511505706504977,5,10,10,0.9656096391817143
2020-12-16,0.012155430766727626,5,10,10,0.9773470402984724
2020-12-21,-0.008551821490158354,5,10,10,0.9689889428759053
2020-12-31,0.015720516488406076,5,10,10,0.9842219495294691
2021-01-05,-0.01049930290533189,5,10,10,0.9738883051552829
2021-01-15,0.0015424030941026251,5,10,10,0.9753904334904648
2021-01-20,-0.014656330931159142,5,10,10,0.9610947885101419
2021-01-25,-0.010041091701418408,5,10,10,0.9514443476049562
2021-02-04,0.010567155617317827,5,10,10,0.9614984080873153
2021-02-09,-0.006922322503458156,5,10,10,0.9548426060199734
2021-02-19,-0.006352440252030978,5,10,10,0.948777025415138
2021-02-24,0.42700913793960094,5,10,10,1.353913485134555
2021-03-01,0.002300576527325332,5,10,10,1.3570282667184848
2021-03-11,-0.0005187794162829846,5,10,10,1.356324268386397
2021-03-16,-0.015311611517634608,5,10,10,1.3355567580969245
2021-03-26,0.0078101715566770615,5,10,10,1.3459876855013408
2021-03-31,0.004517462068212785,5,10,10,1.3520681338148746
2021-04-15,0.01415060682571755,5,10,10,1.3712007183780706
2021-04-20,-0.0025712111183501733,5,10,10,1.367675071845487
2021-05-10,0.007170530123028286,5,10,10,1.37748202714667
2021-05-20,0.004197431068876349,5,10,10,1.3832639130042341
2021-05-25,0.012137156404427741,5,10,10,1.400052803464967
2021-06-04,0.0035432873977110624,5,10,10,1.4050135929196146
2021-06-09,0.016899639058233395,5,10,10,1.4287578155118679
2021-06-24,0.0043784727843754565,5,10,10,1.4350135927225502
2021-06-29,-0.006976700205599465,5,10,10,1.4250019330951649
2021-07-09,-0.0034215266955940488,5,10,10,1.4201262509398067
2021-07-14,-0.006517592599391384,5,10,10,1.41087044659648
2021-07-19,0.012514169108563173,5,10,10,1.4285263179554624
2021-07-29,-0.01122754753520527,5,10,10,1.4124874708153257
2021-08-03,0.01994719022079771,5,10,10,1.4406626270801723
2021-08-13,-0.013387108442195409,5,10,10,1.421376320262832
2021-08-18,-0.0017998599418319605,5,10,10,1.4188180419617225
2021-08-23,0.005005412296881173,5,10,10,1.4259198112359945
2021-09-02,0.005519530506652807,5,10,10,1.4337902191341523
2021-09-07,0.004874082003176047,5,10,10,1.440778630237564
2021-09-17,0.00569827436758068,5,10,10,1.4489885821756048
2021-09-22,-0.007194082091342932,5,10,10,1.4385644393660149
2021-09-27,0.0007680607367651041,5,10,10,1.4396693442291983
2021-10-12,0.0026986304239888085,5,10,10,1.4435544797220194
2021-10-22,-0.00447838230337048,5,10,10,1.437089690886081
2021-10-27,0.006332312787749953,5,10,10,1.4461897923128226
2021-11-01,-0.0019908994846346284,5,10,10,1.443310573800623
2021-11-11,0.006086818747050956,5,10,10,1.4520957436590494
2021-11-16,0.0029230559905316237,5,10,10,1.4563403008213773
2021-11-26,0.0033416095230229294,5,10,10,1.461206821439364
2021-12-01,-0.0023156065376232987,5,10,10,1.4578232413708194
2021-12-06,0.0070986556625995696,5,10,10,1.4681718265782457
2021-12-16,-0.006866304387080276,5,10,10,1.4580909119244239
2021-12-21,0.0023241704614753605,5,10,10,1.4614797637520642
2021-12-31,-0.03218777275725963,5,10,10,1.4144379852270794
2022-01-05,-0.0006625150433197415,5,10,10,1.4135008987840236
2022-01-10,-0.001972174599351337,5,10,10,1.4107132282152817
2022-01-20,-0.01667148399349353,5,10,10,1.387194545211681
2022-01-25,-0.007918274602589745,5,10,10,1.3762103578754803
2022-02-09,-0.005785007462883266,5,10,10,1.3682489706846734
2022-02-14,0.006250585525536134,5,10,10,1.3768013278961648
2022-02-24,0.006848363220885606,5,10,10,1.3862301634725953
2022-03-01,-0.006305626264461639,5,10,10,1.3774891141452137
2022-03-11,-0.013586823722507944,5,10,10,1.358773412371649
2022-03-16,0.015956625094817274,5,10,10,1.3804548503016691
2022-03-21,-0.015390765234685303,5,10,10,1.3592085937835936
2022-03-31,0.0050389613220024445,5,10,10,1.3660575933162027
2022-04-15,-0.007600074942561967,5,10,10,1.3556754532311437
2022-04-20,-0.032273979307544026,5,10,10,1.3119224117058164
2022-04-25,0.010066321476545473,5,10,10,1.325128644454332
2022-05-05,-0.00016488991567024139,5,10,10,1.3249101441038957
2022-05-10,0.0066799992491875584,5,10,10,1.3337605428717507
2022-05-20,0.00041553022566898025,5,10,10,1.3343147606911185
2022-05-25,0.011370382642431042,5,10,10,1.3494864300856202
2022-05-30,0.018222713328181032,5,10,10,1.3740777344413406
2022-06-09,0.009295851827739442,5,10,10,1.3868509574605032
2022-06-14,0.005534399515606119,5,10,10,1.3945263447276905
2022-06-24,-0.005569186583648633,5,10,10,1.3867599673180884
2022-06-29,0.008159753362747673,5,10,10,1.398075586624736
2022-07-04,-0.0011126048468184685,5,10,10,1.3965200809508387
2022-07-14,0.0019130024098489664,5,10,10,1.3991916272311002
2022-07-19,-0.009669525574669078,5,10,10,1.3856621080077263
2022-07-29,-0.011155097017418167,5,10,10,1.37020491275954
2022-08-03,0.01706460473544346,5,10,10,1.3935869180023444
2022-08-08,0.0037926096902125644,5,10,10,1.3988722492517136
2022-08-18,-0.00797749044500157,5,10,10,1.3877127592495302
2022-08-23,-0.011313742950408838,5,10,10,1.3720125338023783
2022-09-02,0.010744512637425298,5,10,10,1.3867541398105239
2022-09-07,-0.0014616548620646596,5,10,10,1.3847271838795816
2022-09-22,-0.0034925107770346154,5,10,10,1.3798910092666294
2022-09-27,-0.013326616296210153,5,10,10,1.3615017312555429
2022-10-12,0.022122556333486688,5,10,10,1.391621630003383
2022-10-17,-0.009523672114336657,5,10,10,1.378368281892012
2022-10-27,-0.0012112985306081702,5,10,10,1.3766986664175191
2022-11-01,0.007979106079827117,5,10,10,1.387683491116821
2022-11-11,0.00578738452414311,5,10,10,1.3957145490777194
2022-11-16,-0.003222171579660097,5,10,10,1.3912173173243632
2022-11-21,-0.004566293261983381,5,10,10,1.3848646110623102
2022-12-01,-0.0011545026337471788,5,10,10,1.3832657812214555
2022-12-06,0.001439150627230224,5,10,10,1.3852565090381264
2022-12-16,-0.013434456482145663,5,10,10,1.3666463407508447
2022-12-21,0.007011327295440406,5,10,10,1.376228345542965
2022-12-26,-0.0006221134796952493,5,10,10,1.375372175338064
2023-01-05,0.0032603052498125255,5,10,10,1.379856308461765
2023-01-10,0.0017718863955881365,5,10,10,1.382301257082595
2023-01-30,-0.0023199771268606227,5,10,10,1.3790943497837327
2023-02-09,0.0016717187035696578,5,10,10,1.3813998076022536
2023-02-14,-0.012374051796588943,5,10,10,1.3643062948311853
2023-02-24,0.003338806715538685,5,10,10,1.3688614498504192
2023-03-01,0.0005480711219286583,5,10,10,1.3696116832810035
2023-03-06,-0.00474913837243168,5,10,10,1.363107207880603
2023-03-16,0.0016889458584711027,5,10,10,1.365409422154005
2023-03-21,-0.001335646141151644,5,10,10,1.3635857183282127
2023-03-31,0.008586426798983937,5,10,10,1.375294047282778
2023-04-10,0.0017716209187485954,5,10,10,1.3777305469863745
2023-04-20,-0.019265921969227894,5,10,10,1.3511872977735133
2023-04-25,0.006199988906689996,5,10,10,1.3595646440305695
2023-05-05,-0.0018113549599060423,5,10,10,1.357101989869292
2023-05-10,-0.002398359337038319,5,10,10,1.3538471716405756
2023-05-15,0.0036052113012407043,5,10,10,1.3587280767639272
2023-05-25,0.006198442309045261,5,10,10,1.3671500743614284
2023-05-30,-0.0030253015667552193,5,10,10,1.3630140330994733
2023-06-09,0.007165805067742251,5,10,10,1.3727811259652614
2023-06-14,0.013698666435864839,5,10,10,1.3915863966993105
