date,open,high,low,close,volume,amount,code,name,type
2025-01-02,11.585,11.59,11.474,11.487,335298603,3868349701,511380,可转债ETF,bond
2025-01-03,11.505,11.536,11.456,11.476,308390484,3543805630,511380,可转债ETF,bond
2025-01-06,11.478,11.508,11.419,11.452,323206835,3704018427,511380,可转债ETF,bond
2025-01-07,11.446,11.567,11.44,11.559,273878764,3154143880,511380,可转债ETF,bond
2025-01-08,11.547,11.571,11.473,11.544,312746135,3604606807,511380,可转债ETF,bond
2025-01-09,11.534,11.588,11.532,11.559,234987069,2718099768,511380,可转债ETF,bond
2025-01-10,11.572,11.572,11.516,11.523,253799852,2928034348,511380,可转债ETF,bond
2025-01-13,11.5,11.545,11.485,11.52,265237600,3053841039,511380,可转债ETF,bond
2025-01-14,11.53,11.658,11.52,11.651,374661178,4347244702,511380,可转债ETF,bond
2025-01-15,11.645,11.699,11.636,11.666,241157130,2812991166,511380,可转债ETF,bond
2025-01-16,11.687,11.743,11.621,11.641,300560340,3507348536,511380,可转债ETF,bond
2025-01-17,11.646,11.71,11.616,11.702,325068416,3789942642,511380,可转债ETF,bond
2025-01-20,11.75,11.788,11.709,11.744,277618056,3262917248,511380,可转债ETF,bond
2025-01-21,11.76,11.788,11.719,11.773,308490390,3623995657,511380,可转债ETF,bond
2025-01-22,11.764,11.775,11.73,11.755,279947410,3290475822,511380,可转债ETF,bond
2025-01-23,11.789,11.831,11.757,11.769,284709894,3357015094,511380,可转债ETF,bond
2025-01-24,11.766,11.824,11.755,11.815,302322860,3566879649,511380,可转债ETF,bond
2025-01-27,11.822,11.854,11.755,11.758,194777127,2298596024,511380,可转债ETF,bond
2025-02-05,11.782,11.807,11.75,11.797,176586530,2081121146,511380,可转债ETF,bond
2025-02-06,11.8,11.893,11.789,11.886,265596100,3146590864,511380,可转债ETF,bond
2025-02-07,11.886,12.013,11.885,11.967,376897227,4509929608,511380,可转债ETF,bond
2025-02-10,11.972,11.977,11.929,11.971,256540421,3066735466,511380,可转债ETF,bond
2025-02-11,11.975,11.975,11.91,11.943,260693892,3112685883,511380,可转债ETF,bond
2025-02-12,11.94,11.998,11.913,11.991,292765787,3502028053,511380,可转债ETF,bond
2025-02-13,11.996,12.02,11.968,11.985,274257207,3289054353,511380,可转债ETF,bond
2025-02-14,11.981,11.999,11.956,11.99,308244060,3691461443,511380,可转债ETF,bond
2025-02-17,11.992,12.012,11.974,11.99,212615879,2549548750,511380,可转债ETF,bond
2025-02-18,11.98,11.999,11.88,11.907,327303757,3909902871,511380,可转债ETF,bond
2025-02-19,11.897,12.02,11.897,12.016,261397672,3130135428,511380,可转债ETF,bond
2025-02-20,12.015,12.055,11.98,12.045,249228624,2996663418,511380,可转债ETF,bond
2025-02-21,12.054,12.162,12.035,12.159,325258926,3937821992,511380,可转债ETF,bond
2025-02-24,12.139,12.17,12.103,12.11,335108705,4066464923,511380,可转债ETF,bond
2025-02-25,12.068,12.195,12.054,12.119,308238750,3738616589,511380,可转债ETF,bond
2025-02-26,12.13,12.221,12.13,12.218,344045000,4194873734,511380,可转债ETF,bond
2025-02-27,12.223,12.225,12.11,12.204,311049233,3784725904,511380,可转债ETF,bond
2025-02-28,12.19,12.191,12.003,12.028,373611502,4512338968,511380,可转债ETF,bond
2025-03-03,12.051,12.104,11.919,11.964,511181937,6146386462,511380,可转债ETF,bond
2025-03-04,11.949,12.037,11.94,12.021,434925562,5219478084,511380,可转债ETF,bond
