date,open,high,low,close,volume,amount,code,name,type
2025-01-02,141.36,141.438,141.26,141.411,2748670,388656746,511010,国债ETF,bond
2025-01-03,141.47,141.799,141.47,141.787,2116100,299664872,511010,国债ETF,bond
2025-01-06,141.807,141.999,141.601,141.789,3154310,447313768,511010,国债ETF,bond
2025-01-07,141.793,141.793,141.453,141.558,1561400,221098456,511010,国债ETF,bond
2025-01-08,141.51,141.675,141.51,141.603,3426590,485293134,511010,国债ETF,bond
2025-01-09,141.551,141.601,141.27,141.298,2607500,368708413,511010,国债ETF,bond
2025-01-10,140.95,141.287,140.661,141.209,1503100,211894199,511010,国债ETF,bond
2025-01-13,141.202,141.202,140.901,141.039,3296000,464892516,511010,国债ETF,bond
2025-01-14,141.019,141.129,140.86,141.111,2346000,330815325,511010,国债ETF,bond
2025-01-15,141.25,141.345,141.239,141.267,3784690,534647062,511010,国债ETF,bond
2025-01-16,141.229,141.325,141.116,141.243,2614060,369128199,511010,国债ETF,bond
2025-01-17,141.293,141.293,141.166,141.178,2490200,351623333,511010,国债ETF,bond
2025-01-20,141.128,141.22,141.085,141.189,8219800,1160577519,511010,国债ETF,bond
2025-01-21,141.086,141.226,141.086,141.219,1024000,144584689,511010,国债ETF,bond
2025-01-22,141.3,141.347,141.288,141.31,12468500,1761877034,511010,国债ETF,bond
2025-01-23,141.259,141.265,141.093,141.146,12633900,1783187892,511010,国债ETF,bond
2025-01-24,141.142,141.142,140.912,141.004,15436500,2176190516,511010,国债ETF,bond
2025-01-27,141.122,141.499,141.122,141.496,11867900,1677881693,511010,国债ETF,bond
2025-02-05,141.431,141.488,141.162,141.459,10471200,1480642754,511010,国债ETF,bond
2025-02-06,141.473,141.612,141.422,141.594,11085700,1568559965,511010,国债ETF,bond
2025-02-07,141.618,141.659,141.5,141.511,15845400,2242793282,511010,国债ETF,bond
2025-02-10,141.465,141.465,141.258,141.281,15157000,2141896017,511010,国债ETF,bond
2025-02-11,141.265,141.337,141.196,141.248,5280200,745854857,511010,国债ETF,bond
2025-02-12,141.258,141.341,141.238,141.25,2832600,400237911,511010,国债ETF,bond
2025-02-13,141.252,141.253,141.169,141.227,15222300,2149203552,511010,国债ETF,bond
2025-02-14,141.226,141.226,140.915,140.926,14411200,2031037213,511010,国债ETF,bond
2025-02-17,140.918,140.918,140.73,140.832,1559500,219615204,511010,国债ETF,bond
2025-02-18,140.822,140.822,140.481,140.637,15701200,2208975781,511010,国债ETF,bond
2025-02-19,140.661,140.819,140.615,140.817,14666100,2062844991,511010,国债ETF,bond
2025-02-20,140.818,140.818,140.51,140.583,5857800,824264508,511010,国债ETF,bond
2025-02-21,140.48,140.673,140.28,140.45,15708100,2204531142,511010,国债ETF,bond
2025-02-24,140.35,140.4,139.931,140.064,15863000,2224846986,511010,国债ETF,bond
2025-02-25,140.179,140.456,139.912,140.253,1876742,263078803,511010,国债ETF,bond
2025-02-26,140.293,140.443,140.207,140.265,14574590,2044656259,511010,国债ETF,bond
2025-02-27,140.276,140.35,140.166,140.207,15301100,2146722170,511010,国债ETF,bond
2025-02-28,140.186,140.34,140.032,140.254,2076203,291037256,511010,国债ETF,bond
2025-03-03,140.29,140.636,140.212,140.6,15658100,2197633370,511010,国债ETF,bond
2025-03-04,140.712,140.863,140.433,140.594,2139300,300824219,511010,国债ETF,bond
2025-03-05,140.58,140.674,140.543,140.546,14991800,2108131530,511010,国债ETF,bond
2025-03-06,140.536,140.536,140.339,140.417,14971200,2101496941,511010,国债ETF,bond
2025-03-07,140.286,140.286,140.0,140.137,1877100,262948958,511010,国债ETF,bond
2025-03-10,139.999,140.095,139.886,139.905,2300900,322151634,511010,国债ETF,bond
2025-03-11,139.935,139.951,139.527,139.581,1296300,181089081,511010,国债ETF,bond
2025-03-12,139.53,140.133,139.375,140.073,18383600,2567643999,511010,国债ETF,bond
2025-03-13,140.0,140.25,139.93,140.091,2062500,289055370,511010,国债ETF,bond
2025-03-14,139.991,140.128,139.741,140.066,5248100,734683334,511010,国债ETF,bond
2025-03-17,139.938,139.944,139.771,139.779,1221000,170742795,511010,国债ETF,bond
