date,open,high,low,close,volume,amount,code,name,type
2025-01-02,5.963,5.977,5.956,5.969,18563900,110726720,159937,黄金ETF,gold
2025-01-03,6.01,6.026,6.005,6.019,22129500,133099772,159937,黄金ETF,gold
2025-01-06,6.018,6.018,5.981,5.984,30103800,180717411,159937,黄金ETF,gold
2025-01-07,5.992,6.002,5.983,5.994,19745700,118345631,159937,黄金ETF,gold
2025-01-08,6.004,6.027,6.003,6.026,22671485,136330668,159937,黄金ETF,gold
2025-01-09,6.035,6.052,6.026,6.052,19352800,116779847,159937,黄金ETF,gold
2025-01-10,6.086,6.099,6.069,6.099,19973000,121527571,159937,黄金ETF,gold
2025-01-13,6.099,6.124,6.096,6.11,27836700,170099012,159937,黄金ETF,gold
2025-01-14,6.068,6.07,6.055,6.061,29119300,176481856,159937,黄金ETF,gold
2025-01-15,6.066,6.1,6.063,6.097,49139200,298720539,159937,黄金ETF,gold
2025-01-16,6.126,6.131,6.105,6.115,55309700,338430415,159937,黄金ETF,gold
2025-01-17,6.14,6.152,6.127,6.129,24624500,151243598,159937,黄金ETF,gold
2025-01-20,6.073,6.123,6.073,6.122,35877500,218950517,159937,黄金ETF,gold
2025-01-21,6.096,6.123,6.092,6.12,25298700,154735247,159937,黄金ETF,gold
2025-01-22,6.161,6.208,6.157,6.173,35962800,222189699,159937,黄金ETF,gold
2025-01-23,6.18,6.186,6.173,6.178,17885300,110540828,159937,黄金ETF,gold
2025-01-24,6.201,6.217,6.193,6.209,32013200,198742048,159937,黄金ETF,gold
2025-01-27,6.209,6.21,6.173,6.19,26930800,166583751,159937,黄金ETF,gold
2025-02-05,6.39,6.428,6.377,6.428,25629200,164152905,159937,黄金ETF,gold
2025-02-06,6.432,6.442,6.399,6.4,25760500,165621845,159937,黄金ETF,gold
2025-02-07,6.412,6.427,6.405,6.41,19655700,126130731,159937,黄金ETF,gold
2025-02-10,6.451,6.509,6.451,6.504,34260300,221745395,159937,黄金ETF,gold
2025-02-11,6.63,6.634,6.531,6.57,48532900,319708771,159937,黄金ETF,gold
2025-02-12,6.536,6.536,6.501,6.526,28417400,185336681,159937,黄金ETF,gold
2025-02-13,6.553,6.576,6.548,6.56,21014800,137870577,159937,黄金ETF,gold
2025-02-14,6.59,6.597,6.577,6.592,14462000,95262557,159937,黄金ETF,gold
