date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-25,sz.300397,12.1,12.47,12.01,12.29,12.3,13951361,171490320.69,3,3.4405,1,-0.0813,-35.227409,4.031945,17.43531,-34.871888,sz.300397.SZ,2025-02-25
2025-02-26,sz.300397,12.32,12.35,12.13,12.31,12.29,11597765,142057028.4,3,2.8601,1,0.1627,-35.284736,4.038506,17.463683,-34.928636,sz.300397.SZ,2025-02-26
2025-03-05,sz.300397,12.32,12.59,12.25,12.49,12.5,20964620,260433038.6,3,5.17,1,-0.08,-35.800679,4.097558,17.719042,-35.439372,sz.300397.SZ,2025-03-05
2025-04-23,sz.300397,11.54,11.63,11.34,11.52,11.5,17451729,200543568.5,3,4.3037,1,0.1739,-33.020322,3.779333,16.342943,-32.687075,sz.300397.SZ,2025-04-23
2025-05-27,sz.300397,11.65,11.76,11.52,11.69,11.71,11371180,132101602.53,3,2.8042,1,-0.1708,-42.379539,4.05777,17.021489,-70.759349,sz.300397.SZ,2025-05-27
2025-06-12,sz.300397,11.82,12.04,11.82,11.93,11.94,11166300,133211566.04,3,2.7537,1,-0.0838,-43.249606,4.141078,17.370947,-72.212064,sz.300397.SZ,2025-06-12
2025-07-07,sz.300397,13.5,13.63,13.29,13.52,13.51,28638958,385293685.98,3,7.0625,1,0.074,-49.013804,4.69299,19.686102,-81.836304,sz.300397.SZ,2025-07-07
2025-07-29,sz.300397,13.9,14.16,13.82,14.06,14.05,24115362,337570959.16,3,5.947,1,0.0712,-50.971456,4.880432,20.472381,-85.104914,sz.300397.SZ,2025-07-29
2025-07-31,sz.300397,13.73,14.03,13.69,13.84,13.81,23123896,320404873.0,3,5.7025,1,0.2172,-50.173894,4.804067,20.152045,-83.773258,sz.300397.SZ,2025-07-31
2025-09-19,sz.300397,12.2,12.49,12.15,12.27,12.27,11872261,146103599.26,3,2.9278,1,0.0,-46.870068,4.337742,17.073947,-105.492401,sz.300397.SZ,2025-09-19
2025-10-15,sz.300397,12.46,12.46,12.2,12.41,12.39,10689915,131754714.4,3,2.6362,1,0.1614,-47.404853,4.387236,17.26876,-106.696063,sz.300397.SZ,2025-10-15
2025-10-31,sz.300397,12.46,12.58,12.4,12.49,12.5,10072641,126002273.24,3,2.484,1,-0.08,-51.930369,4.492568,16.446434,-358.506682,sz.300397.SZ,2025-10-31
2025-11-10,sz.300397,12.45,12.49,12.35,12.43,12.45,7933243,98400945.42,3,1.9564,1,-0.1606,-51.680903,4.470987,16.367428,-356.784472,sz.300397.SZ,2025-11-10
2025-12-31,sz.300397,14.81,15.18,14.71,14.82,14.79,34167874,510299694.6,3,8.426,1,0.2028,-61.617939,5.330654,19.514504,-425.38583,sz.300397.SZ,2025-12-31
