date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-03-10,sz.002835,20.45,20.71,20.35,20.63,20.61,4095100,84061275.85,3,3.2173,1,0.097,21.713411,3.9989,3.820117,502.30433,sz.002835.SZ,2025-03-10
2025-03-31,sz.002835,19.47,19.48,18.87,19.41,19.4,3156748,60419676.2,3,2.4801,1,0.0515,20.429341,3.762417,3.594206,472.599469,sz.002835.SZ,2025-03-31
2025-04-09,sz.002835,14.49,15.38,13.72,15.23,15.24,9213252,134744357.4,3,7.2383,1,-0.0656,16.029823,2.952169,2.820183,370.823798,sz.002835.SZ,2025-04-09
2025-05-07,sz.002835,17.77,17.88,17.4,17.57,17.58,3728100,65733197.0,3,2.9289,1,-0.0569,18.425627,3.116787,3.33643,-380.32137,sz.002835.SZ,2025-05-07
2025-05-19,sz.002835,17.68,17.77,17.42,17.67,17.7,2478200,43623336.0,3,1.9469,1,-0.1695,18.530496,3.134526,3.355419,-382.485976,sz.002835.SZ,2025-05-19
2025-06-12,sz.002835,18.27,18.46,18.13,18.34,18.38,3893900,71472541.0,3,3.0591,1,-0.2176,19.233124,3.253379,3.482648,-396.98884,sz.002835.SZ,2025-06-12
2025-06-18,sz.002835,18.0,18.27,17.9,18.19,18.17,4232200,76609098.0,3,3.3249,1,0.1101,19.075819,3.22677,3.454164,-393.74193,sz.002835.SZ,2025-06-18
2025-07-07,sz.002835,18.68,18.77,18.58,18.68,18.68,2111792,39410261.64,3,1.6591,1,0.0,19.589681,3.313692,3.547212,-404.348502,sz.002835.SZ,2025-07-07
2025-07-17,sz.002835,18.24,18.39,18.14,18.29,18.26,2866000,52480252.0,3,2.2516,1,0.1643,19.180689,3.244509,3.473153,-395.906537,sz.002835.SZ,2025-07-17
2025-07-18,sz.002835,18.35,18.48,18.15,18.3,18.29,4013942,73465006.4,3,3.1534,1,0.0547,19.191176,3.246283,3.475052,-396.122998,sz.002835.SZ,2025-07-18
2025-07-29,sz.002835,18.48,18.73,18.31,18.52,18.55,3440700,63444467.0,3,2.7031,1,-0.1617,19.42189,3.28531,3.516829,-400.885132,sz.002835.SZ,2025-07-29
2025-08-12,sz.002835,19.11,19.24,19.02,19.13,19.13,3205800,61311952.0,3,2.5186,1,0.0,20.061596,3.393519,3.632664,-414.089232,sz.002835.SZ,2025-08-12
2025-08-13,sz.002835,19.2,19.24,19.04,19.16,19.13,4260643,81568079.59,3,3.3473,1,0.1568,20.093057,3.398841,3.63836,-414.738614,sz.002835.SZ,2025-08-13
2025-08-19,sz.002835,19.31,19.36,19.12,19.28,19.25,3738143,71922407.72,3,2.9368,1,0.1558,20.2189,3.420128,3.661148,-417.336142,sz.002835.SZ,2025-08-19
2025-09-10,sz.002835,17.51,17.68,17.48,17.51,17.51,2376252,41749525.52,3,1.8668,1,0.0,19.738197,3.209166,3.406575,-43.556347,sz.002835.SZ,2025-09-10
2025-09-12,sz.002835,17.9,17.95,17.76,17.85,17.87,2779420,49682541.6,3,2.1836,1,-0.1119,20.121463,3.27148,3.472722,-44.402101,sz.002835.SZ,2025-09-12
2025-09-15,sz.002835,17.81,17.84,17.7,17.82,17.85,1889231,33563813.49,3,1.4842,1,-0.1681,20.087645,3.265982,3.466885,-44.327476,sz.002835.SZ,2025-09-15
2025-10-22,sz.002835,16.85,17.03,16.74,16.89,16.86,1883598,31888374.32,3,1.4798,1,0.1779,19.0393,3.095535,3.285954,-42.014089,sz.002835.SZ,2025-10-22
2025-10-28,sz.002835,17.19,17.33,17.1,17.22,17.22,1644900,28345743.0,3,1.2923,1,0.0,19.411293,3.156016,3.350155,-42.834968,sz.002835.SZ,2025-10-28
2025-11-06,sz.002835,17.29,17.34,17.16,17.29,17.28,1518500,26199529.0,3,1.193,1,0.0579,22.221433,3.083988,3.447181,31.626966,sz.002835.SZ,2025-11-06
2025-11-11,sz.002835,17.31,17.37,17.22,17.31,17.31,1491700,25822508.0,3,1.1719,1,0.0,22.247137,3.087555,3.451169,31.66355,sz.002835.SZ,2025-11-11
2025-11-12,sz.002835,17.36,17.36,17.15,17.3,17.31,1698452,29294218.44,3,1.3343,1,-0.0578,22.234285,3.085772,3.449175,31.645258,sz.002835.SZ,2025-11-12
2025-11-13,sz.002835,17.27,17.35,17.13,17.31,17.3,1620600,27991204.0,3,1.2732,1,0.0578,22.247137,3.087555,3.451169,31.66355,sz.002835.SZ,2025-11-13
2025-11-20,sz.002835,17.1,17.13,16.78,16.94,16.92,1669200,28295082.0,3,1.3114,1,0.1182,21.771606,3.021559,3.3774,30.986744,sz.002835.SZ,2025-11-20
2025-12-15,sz.002835,16.0,16.2,15.86,16.01,16.01,1742700,27960370.0,3,1.3691,1,0.0,20.576353,2.855677,3.191982,29.285582,sz.002835.SZ,2025-12-15
2025-12-17,sz.002835,15.88,15.97,15.41,15.86,15.88,2982200,46748049.0,3,2.3429,1,-0.1259,20.38357,2.828921,3.162076,29.011202,sz.002835.SZ,2025-12-17
2025-12-19,sz.002835,16.23,16.27,16.13,16.15,16.15,1537100,24872489.0,3,1.2076,1,0.0,20.756283,2.880648,3.219895,29.541671,sz.002835.SZ,2025-12-19
2025-12-22,sz.002835,16.16,16.3,16.09,16.18,16.15,1610800,26104860.0,3,1.2655,1,0.1858,20.79484,2.885999,3.225876,29.596547,sz.002835.SZ,2025-12-22
2025-12-30,sz.002835,16.22,16.38,16.12,16.24,16.23,1577300,25678709.0,3,1.2392,1,0.0616,20.871953,2.896701,3.237838,29.7063,sz.002835.SZ,2025-12-30
2026-01-23,sz.002835,17.27,17.33,17.18,17.28,17.27,2173700,37515401.0,3,1.7077,1,0.0579,22.20858,3.082204,3.445188,31.608674,sz.002835.SZ,2026-01-23
