date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-25,sz.002724,4.96,5.09,4.91,5.01,5.01,5534800,27812734.37,3,0.968,1,0.0,557.869778,1.365619,2.338776,-134.426193,sz.002724.SZ,2025-02-25
2025-02-27,sz.002724,5.12,5.12,4.96,5.08,5.09,5360368,27031026.08,3,0.9375,1,-0.1965,565.664365,1.3847,2.371453,-136.304403,sz.002724.SZ,2025-02-27
2025-04-01,sz.002724,6.15,6.24,6.1,6.12,6.13,34365871,211521391.66,3,6.0105,1,-0.1631,681.469669,1.668181,2.856947,-164.209241,sz.002724.SZ,2025-04-01
2025-05-13,sz.002724,6.48,6.66,6.37,6.39,6.38,27244826,176287496.88,3,4.765,1,0.1567,-36.234076,1.850066,2.763576,-43.210713,sz.002724.SZ,2025-05-13
2025-05-14,sz.002724,6.37,6.58,6.35,6.4,6.39,23634300,152028823.0,3,4.1336,1,0.1565,-36.29078,1.852961,2.767901,-43.278335,sz.002724.SZ,2025-05-14
2025-06-11,sz.002724,6.61,6.69,6.55,6.61,6.6,14699100,97370399.0,3,2.5708,1,0.1515,-37.481571,1.913761,2.858722,-44.698405,sz.002724.SZ,2025-06-11
2025-07-08,sz.002724,7.78,7.87,7.6,7.78,7.79,33726723,261495734.99,3,5.8987,1,-0.1284,-44.11598,2.252505,3.364729,-52.610226,sz.002724.SZ,2025-07-08
2025-07-11,sz.002724,7.69,7.71,7.6,7.66,7.66,17768600,135935972.4,3,3.1077,1,0.0,-43.435528,2.217762,3.312831,-51.798757,sz.002724.SZ,2025-07-11
2025-07-14,sz.002724,7.66,7.73,7.63,7.67,7.66,18684300,143155507.0,3,3.2678,1,0.1305,-43.492232,2.220658,3.317156,-51.86638,sz.002724.SZ,2025-07-14
2025-07-17,sz.002724,7.87,8.0,7.74,7.94,7.94,21807540,172077998.6,3,3.8141,1,0.0,-45.023249,2.298829,3.433927,-53.692184,sz.002724.SZ,2025-07-17
2025-08-01,sz.002724,7.54,7.62,7.46,7.58,7.58,10800860,81542565.2,3,1.889,1,0.0,-42.981893,2.1946,3.278232,-51.257778,sz.002724.SZ,2025-08-01
2025-09-08,sz.002724,7.99,8.03,7.88,7.98,7.99,8760020,69736655.6,3,1.5321,1,-0.1252,-61.828013,2.266003,3.428924,-558.575514,sz.002724.SZ,2025-09-08
2025-09-26,sz.002724,7.49,7.5,7.36,7.38,7.37,9396100,69857310.0,3,1.6433,1,0.1357,-57.179291,2.095627,3.17111,-516.577355,sz.002724.SZ,2025-09-26
2025-10-16,sz.002724,7.66,7.94,7.54,7.67,7.66,13628054,104466313.92,3,2.3835,1,0.1305,-59.426173,2.177975,3.29572,-536.876465,sz.002724.SZ,2025-10-16
2025-11-14,sz.002724,7.11,7.18,7.09,7.14,7.13,7032200,50301094.0,3,1.2299,1,0.1403,-38.208242,2.03051,3.164431,-278.263017,sz.002724.SZ,2025-11-14
2025-11-25,sz.002724,6.95,7.01,6.91,6.94,6.93,5174700,36026051.0,3,0.9114,1,0.1443,-37.137983,1.973633,3.075792,-270.468535,sz.002724.SZ,2025-11-25
2025-12-08,sz.002724,7.25,7.28,7.2,7.22,7.22,8306840,60129919.8,3,1.463,1,0.0,-38.636346,2.053261,3.199887,-281.38081,sz.002724.SZ,2025-12-08
2025-12-29,sz.002724,6.79,6.89,6.76,6.8,6.81,5366197,36658394.45,3,0.9451,1,-0.1468,-36.388802,1.933819,3.013744,-265.012397,sz.002724.SZ,2025-12-29
2026-01-09,sz.002724,7.0,7.02,6.9,6.96,6.97,7621940,52952940.8,3,1.3424,1,-0.1435,-37.245009,1.979321,3.084656,-271.247983,sz.002724.SZ,2026-01-09
2026-01-20,sz.002724,6.96,7.01,6.87,6.94,6.95,6655000,46087702.0,3,1.1721,1,-0.1439,-37.137983,1.973633,3.075792,-270.468535,sz.002724.SZ,2026-01-20
