date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-03-06,sz.301626,92.18,92.49,90.42,91.19,91.24,1647159,150264826.8,3,7.4897,1,-0.0548,56.629251,11.623759,11.226551,229.020013,sz.301626.SZ,2025-03-06
2025-03-12,sz.301626,91.4,92.8,91.07,91.11,91.12,1169900,107590033.54,3,5.3196,1,-0.011,56.579571,11.613561,11.216702,228.819096,sz.301626.SZ,2025-03-12
2025-03-18,sz.301626,93.79,94.6,93.06,94.02,94.04,967407,90955653.23,3,4.3988,1,-0.0213,58.386689,11.984492,11.574957,236.127444,sz.301626.SZ,2025-03-18
2025-06-03,sz.301626,69.96,71.35,69.32,70.17,70.11,1025570,72289290.06,3,3.9403,1,0.0856,44.271969,5.223416,8.486739,40.339319,sz.301626.SZ,2025-06-03
2025-06-11,sz.301626,78.5,80.48,77.67,79.17,79.0,2674713,212108630.02,3,10.2763,1,0.2152,49.950289,5.893371,9.575247,45.513238,sz.301626.SZ,2025-06-11
2025-06-19,sz.301626,88.5,91.8,87.85,88.92,88.76,3208032,286666151.88,3,12.3253,1,0.1803,56.101802,6.619155,10.754465,51.118317,sz.301626.SZ,2025-06-19
2025-07-02,sz.301626,99.76,100.99,98.5,100.24,100.45,1554880,154653888.89,3,5.9739,1,-0.2091,63.243867,7.46181,12.123567,57.625957,sz.301626.SZ,2025-07-02
2025-07-07,sz.301626,105.0,109.46,103.3,107.29,107.46,2451464,260052642.38,3,9.4186,1,-0.1582,67.691884,7.986608,12.976232,61.678859,sz.301626.SZ,2025-07-07
2025-08-26,sz.301626,154.5,161.49,150.52,157.58,157.41,3042740,470815183.41,3,11.6903,1,0.108,99.421075,11.730167,19.058576,90.589567,sz.301626.SZ,2025-08-26
2025-09-12,sz.301626,132.43,133.9,126.87,131.68,131.81,2112491,276352759.9,3,8.1162,1,-0.0986,83.073582,9.983526,15.323309,376.021542,sz.301626.SZ,2025-09-12
2025-10-24,sz.301626,126.0,133.32,123.6,124.33,124.35,4007773,514804540.45,3,7.6166,1,-0.0161,76.669735,9.131351,13.438617,426.877619,sz.301626.SZ,2025-10-24
2025-11-07,sz.301626,155.46,159.3,153.0,155.14,155.46,1847973,287001169.34,3,3.512,1,-0.2058,95.669128,11.394175,16.768817,532.661415,sz.301626.SZ,2025-11-07
2025-11-12,sz.301626,174.9,180.99,172.02,175.71,175.47,3378069,595913574.48,3,6.4199,1,0.1368,108.353889,12.904927,18.992193,603.286949,sz.301626.SZ,2025-11-12
2025-11-13,sz.301626,174.83,178.99,173.0,175.4,175.71,1711705,299383684.2,3,3.253,1,-0.1764,108.162724,12.88216,18.958686,602.222588,sz.301626.SZ,2025-11-13
2025-11-25,sz.301626,168.88,171.7,166.0,166.35,166.0,1336500,225106676.0,3,2.54,1,0.2108,102.581922,12.217487,17.980487,571.150099,sz.301626.SZ,2025-11-25
2025-12-02,sz.301626,176.76,184.0,170.03,172.25,171.91,2215961,392284985.39,3,4.2113,1,0.1978,106.220235,12.65081,18.618208,591.407302,sz.301626.SZ,2025-12-02
2025-12-04,sz.301626,166.07,169.29,165.0,167.24,167.1,777520,129826400.6,3,1.4776,1,0.0838,103.130752,12.282853,18.076686,574.205847,sz.301626.SZ,2025-12-04
2025-12-05,sz.301626,167.67,168.15,163.38,167.12,167.24,756630,125967890.92,3,1.4379,1,-0.0718,103.056753,12.274039,18.063715,573.793836,sz.301626.SZ,2025-12-05
2025-12-08,sz.301626,168.79,171.98,166.36,166.82,167.12,1119375,188419449.0,3,2.1273,1,-0.1795,102.871754,12.252006,18.031288,572.763809,sz.301626.SZ,2025-12-08
2026-01-06,sz.301626,187.49,189.5,184.3,185.8,185.5,1219518,227274641.56,3,2.3176,1,0.1617,114.576021,13.645982,20.082804,637.930198,sz.301626.SZ,2026-01-06
2026-01-26,sz.301626,182.48,186.6,178.0,182.2,182.49,1825614,332577965.56,3,3.4695,1,-0.1589,112.356034,13.381582,19.693686,625.569871,sz.301626.SZ,2026-01-26
