date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-27,sz.002174,10.08,10.24,9.83,10.02,10.04,27356574,274096558.36,3,2.9887,1,-0.1992,106.592307,2.064998,6.357874,22.273419,sz.002174.SZ,2025-02-27
2025-03-27,sz.002174,9.46,9.55,9.32,9.48,9.46,15331503,145122799.41,3,1.675,1,0.2114,100.847812,1.953711,6.015234,21.073055,sz.002174.SZ,2025-03-27
2025-04-03,sz.002174,9.36,9.56,9.31,9.44,9.45,10118700,95752752.0,3,1.1054,1,-0.1058,100.422333,1.945468,5.989856,20.984148,sz.002174.SZ,2025-04-03
2025-04-21,sz.002174,9.1,9.18,8.95,9.13,9.13,11118100,101079951.0,3,1.2146,1,0.0,97.124566,1.881581,5.793155,20.295049,sz.002174.SZ,2025-04-21
2025-04-22,sz.002174,9.27,9.29,9.1,9.15,9.13,11614704,106637282.64,3,1.2689,1,0.2191,97.337325,1.885703,5.805845,20.339507,sz.002174.SZ,2025-04-22
2025-05-12,sz.002174,9.39,9.47,9.27,9.34,9.33,11234066,104958564.44,3,1.2273,1,0.1072,-22.603498,2.082733,5.864307,33.84965,sz.002174.SZ,2025-05-12
2025-05-15,sz.002174,10.01,10.25,9.76,9.94,9.92,29342800,292360869.0,3,3.2056,1,0.2016,-24.055543,2.216527,6.241029,36.024145,sz.002174.SZ,2025-05-15
2025-05-23,sz.002174,11.9,12.03,11.55,11.74,11.72,73555949,865202326.87,3,8.0356,1,0.1706,-28.411678,2.61791,7.371196,42.547633,sz.002174.SZ,2025-05-23
2025-06-09,sz.002174,13.86,14.0,13.5,13.84,13.84,38819395,534259009.28,3,4.2408,1,0.0,-33.493835,3.086191,8.689723,50.158367,sz.002174.SZ,2025-06-09
2025-06-11,sz.002174,13.59,13.74,13.34,13.59,13.59,40347322,545334091.59,3,4.4078,1,0.0,-32.888816,3.030443,8.532756,49.252328,sz.002174.SZ,2025-06-11
2025-06-27,sz.002174,11.83,11.94,11.67,11.85,11.83,23327469,275902603.24,3,2.5484,1,0.1691,-28.677886,2.642439,7.440262,42.94629,sz.002174.SZ,2025-06-27
2025-07-01,sz.002174,12.14,12.27,12.02,12.13,12.13,27011233,328370402.65,3,2.894,1,0.0,-29.932053,2.758001,7.765646,44.824456,sz.002174.SZ,2025-07-01
2025-07-10,sz.002174,12.27,12.48,12.13,12.22,12.24,38033903,467738011.02,3,4.0749,1,-0.1634,-30.154137,2.778464,7.823264,45.157036,sz.002174.SZ,2025-07-10
2025-07-15,sz.002174,12.75,12.79,12.4,12.64,12.62,57057207,718592913.7,3,6.1131,1,0.1585,-31.190532,2.87396,8.092149,46.709078,sz.002174.SZ,2025-07-15
2025-08-18,sz.002174,18.01,18.15,17.13,17.29,17.31,91926468,1607833844.54,3,9.849,1,-0.1155,-42.664897,3.931231,11.069086,63.892402,sz.002174.SZ,2025-08-18
2025-09-05,sz.002174,14.5,14.66,14.27,14.51,14.48,41550459,600841459.91,3,4.253,1,0.2072,-41.664053,3.259215,9.982832,-60.766179,sz.002174.SZ,2025-09-05
2025-09-16,sz.002174,12.46,12.6,12.28,12.55,12.56,64875926,807475366.76,3,6.6011,1,-0.0796,-36.25101,2.835774,8.68585,-52.871365,sz.002174.SZ,2025-09-16
2025-11-06,sz.002174,12.55,12.7,12.38,12.6,12.58,24993262,313520812.99,3,2.5431,1,0.159,-39.358116,2.499139,8.508352,-106.427994,sz.002174.SZ,2025-11-06
2025-11-28,sz.002174,11.84,12.02,11.69,11.83,11.82,19069212,224918808.35,3,1.9403,1,0.0846,-36.952898,2.346413,7.988397,-99.924061,sz.002174.SZ,2025-11-28
2025-12-31,sz.002174,12.25,12.31,12.09,12.24,12.24,18741937,228855420.01,3,1.907,1,0.0,-38.233599,2.427735,8.265256,-103.387194,sz.002174.SZ,2025-12-31
