date,open,close,low,high,volume,amount,change_pct,stock_code,code,trade_date,preclose,pctChg,turn,tradestatus,adjustflag,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-01-02,3.152,3.212,3.222,3.142,134791.0,,,002255.SZ,002255,2020-01-02,,,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-03,3.212,3.232,3.242,3.192,111847.0,,0.6226650062266526,002255.SZ,002255,2020-01-03,3.212,0.6226650062266526,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-06,3.222,3.252,3.272,3.202,131446.0,,0.6188118811881083,002255.SZ,002255,2020-01-06,3.232,0.6188118811881083,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-07,3.252,3.302,3.312,3.242,146996.0,,1.537515375153764,002255.SZ,002255,2020-01-07,3.252,1.537515375153764,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-08,3.292,3.232,3.302,3.212,134119.0,,-2.1199273167777033,002255.SZ,002255,2020-01-08,3.302,-2.1199273167777033,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-09,3.262,3.272,3.292,3.252,92891.0,,1.2376237623762165,002255.SZ,002255,2020-01-09,3.232,1.2376237623762165,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-10,3.272,3.232,3.282,3.222,83729.0,,-1.2224938875305513,002255.SZ,002255,2020-01-10,3.272,-1.2224938875305513,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-13,3.232,3.242,3.252,3.182,83940.0,,0.30940594059405413,002255.SZ,002255,2020-01-13,3.232,0.30940594059405413,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-14,3.242,3.252,3.272,3.232,77477.0,,0.30845157310301907,002255.SZ,002255,2020-01-14,3.242,0.30845157310301907,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-15,3.262,3.212,3.262,3.182,83307.0,,-1.2300123001229846,002255.SZ,002255,2020-01-15,3.252,-1.2300123001229846,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-16,3.192,3.172,3.222,3.162,69497.0,,-1.245330012453305,002255.SZ,002255,2020-01-16,3.212,-1.245330012453305,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-17,3.172,3.122,3.192,3.112,74443.0,,-1.5762925598991284,002255.SZ,002255,2020-01-17,3.172,-1.5762925598991284,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-20,3.122,3.142,3.152,3.072,63796.0,,0.6406149903907865,002255.SZ,002255,2020-01-20,3.122,0.6406149903907865,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-21,3.112,3.102,3.142,3.092,50380.0,,-1.2730744748567835,002255.SZ,002255,2020-01-21,3.142,-1.2730744748567835,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-22,3.072,3.082,3.102,3.052,60906.0,,-0.6447453255963853,002255.SZ,002255,2020-01-22,3.102,-0.6447453255963853,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-23,3.082,2.962,3.082,2.932,103102.0,,-3.893575600259558,002255.SZ,002255,2020-01-23,3.082,-3.893575600259558,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-03,2.662,2.662,2.662,2.662,22105.0,,-10.128291694800817,002255.SZ,002255,2020-02-03,2.962,-10.128291694800817,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-04,2.392,2.532,2.592,2.392,133055.0,,-4.883546205860256,002255.SZ,002255,2020-02-04,2.662,-4.883546205860256,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-05,2.552,2.632,2.642,2.512,100048.0,,3.949447077409163,002255.SZ,002255,2020-02-05,2.532,3.949447077409163,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-06,2.632,2.622,2.672,2.612,105521.0,,-0.37993920972645423,002255.SZ,002255,2020-02-06,2.632,-0.37993920972645423,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-07,2.632,2.642,2.652,2.582,79609.0,,0.7627765064835978,002255.SZ,002255,2020-02-07,2.622,0.7627765064835978,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-10,2.622,2.702,2.702,2.612,88193.0,,2.2710068130204375,002255.SZ,002255,2020-02-10,2.642,2.2710068130204375,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-11,2.692,2.692,2.732,2.662,73666.0,,-0.37009622501850137,002255.SZ,002255,2020-02-11,2.702,-0.37009622501850137,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-12,2.682,2.732,2.752,2.652,69246.0,,1.4858841010401136,002255.SZ,002255,2020-02-12,2.692,1.4858841010401136,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-13,2.722,2.702,2.762,2.672,67307.0,,-1.0980966325036645,002255.SZ,002255,2020-02-13,2.732,-1.0980966325036645,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-14,2.982,2.982,2.982,2.982,43440.0,,10.36269430051815,002255.SZ,002255,2020-02-14,2.702,10.36269430051815,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-17,3.282,3.282,3.282,3.282,30893.0,,10.060362173038229,002255.SZ,002255,2020-02-17,2.982,10.060362173038229,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-18,3.612,3.612,3.612,3.612,55806.0,,10.05484460694699,002255.SZ,002255,2020-02-18,3.282,10.05484460694699,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-19,3.982,3.982,3.982,3.982,64687.0,,10.243632336655594,002255.SZ,002255,2020-02-19,3.612,10.243632336655594,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-20,4.382,4.382,4.382,4.382,438943.0,,10.04520341536914,002255.SZ,002255,2020-02-20,3.982,10.04520341536914,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-21,4.822,4.822,4.822,4.822,516686.0,,10.041077133728905,002255.SZ,002255,2020-02-21,4.382,10.041077133728905,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-24,4.902,5.312,5.312,4.882,1449608.0,,10.161758606387394,002255.SZ,002255,2020-02-24,4.822,10.161758606387394,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-25,5.352,5.852,5.852,5.352,1805416.0,,10.165662650602414,002255.SZ,002255,2020-02-25,5.312,10.165662650602414,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-26,6.162,6.062,6.352,5.382,2168428.0,,3.5885167464114742,002255.SZ,002255,2020-02-26,5.852,3.5885167464114742,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-27,5.752,5.452,6.062,5.452,1330127.0,,-10.062685582316067,002255.SZ,002255,2020-02-27,6.062,-10.062685582316067,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-28,4.902,4.902,5.102,4.902,1109171.0,,-10.08804108584006,002255.SZ,002255,2020-02-28,5.452,-10.08804108584006,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-02,4.972,4.812,4.982,4.442,1070913.0,,-1.8359853121175052,002255.SZ,002255,2020-03-02,4.902,-1.8359853121175052,0.0,1,3,0.0,0.0,0.0,0.0
