date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-25,sh.605286,37.8400,38.2900,36.8400,37.6300,38.1200,3600400,134734375.0000,3,2.143100,1,-1.285400,21.580666,3.246143,2.169070,-28.570202,sh.605286.SZ,2025-02-25
2025-02-26,sh.605286,37.6900,41.3900,37.6900,39.6000,37.6300,8523905,343441706.4500,3,5.073800,1,5.235200,22.710454,3.416084,2.282625,-30.065905,sh.605286.SZ,2025-02-26
2025-02-27,sh.605286,39.6000,41.3900,38.2500,40.9800,39.6000,6652013,263459882.5100,3,3.959500,1,3.484800,23.501879,3.535130,2.362171,-31.113657,sh.605286.SZ,2025-02-27
2025-02-28,sh.605286,40.0000,40.9500,39.4000,39.8000,40.9800,3241325,129595099.5000,3,1.929400,1,-2.879500,22.825153,3.433337,2.294153,-30.217753,sh.605286.SZ,2025-02-28
2025-03-03,sh.605286,40.0000,40.4800,38.6000,39.9200,39.8000,2450158,97156317.7400,3,1.458400,1,0.301500,22.893973,3.443689,2.301070,-30.308862,sh.605286.SZ,2025-03-03
2025-03-04,sh.605286,39.8900,40.9400,38.7700,40.4300,39.9200,2830200,113140065.6400,3,1.684600,1,1.277600,23.186456,3.487684,2.330468,-30.696075,sh.605286.SZ,2025-03-04
2025-03-05,sh.605286,40.6000,41.9600,40.1900,41.6000,40.4300,3798100,157187866.0000,3,2.260800,1,2.893900,23.857447,3.588614,2.397909,-31.584385,sh.605286.SZ,2025-03-05
2025-03-06,sh.605286,41.6100,42.8900,41.1000,42.8900,41.6000,3596613,151466741.4900,3,2.140800,1,3.101000,24.597257,3.699895,2.472267,-32.563805,sh.605286.SZ,2025-03-06
2025-03-07,sh.605286,42.7600,45.1000,38.6000,38.9000,42.8900,9566097,389247387.8000,3,5.694100,1,-9.302900,22.309007,3.355699,2.242275,-29.534437,sh.605286.SZ,2025-03-07
2025-03-10,sh.605286,38.5000,40.2700,38.1200,39.5000,38.9000,4189100,165502501.0000,3,2.493500,1,1.542400,22.653104,3.407458,2.276861,-29.989981,sh.605286.SZ,2025-03-10
2025-03-11,sh.605286,38.6600,40.6400,38.0000,40.3000,39.5000,3820500,150465557.0000,3,2.274100,1,2.025300,23.111901,3.476470,2.322974,-30.597373,sh.605286.SZ,2025-03-11
2025-03-12,sh.605286,41.6000,44.3300,41.4500,44.3300,40.3000,4068646,177118130.1800,3,2.421800,1,10.000000,25.423092,3.824117,2.555272,-33.657111,sh.605286.SZ,2025-03-12
2025-03-13,sh.605286,43.1700,46.1700,43.0200,44.5100,44.3300,6783588,305715344.0400,3,4.037900,1,0.406000,25.526321,3.839644,2.565647,-33.793774,sh.605286.SZ,2025-03-13
2025-03-14,sh.605286,44.5000,45.8600,43.2000,45.6200,44.5100,4754700,214215469.0000,3,2.830200,1,2.493800,26.162902,3.935398,2.629630,-34.636530,sh.605286.SZ,2025-03-14
2025-03-17,sh.605286,45.4100,45.4300,43.5300,44.9000,45.6200,3885107,172704220.8200,3,2.312600,1,-1.578300,25.749984,3.873287,2.588128,-34.089877,sh.605286.SZ,2025-03-17
2025-03-18,sh.605286,44.2000,46.9900,44.1700,45.6700,44.9000,4375188,200682088.8000,3,2.604300,1,1.714900,26.191577,3.939711,2.632512,-34.674492,sh.605286.SZ,2025-03-18
2025-03-19,sh.605286,45.4400,45.8300,44.3300,44.6400,45.6700,2712205,121709153.9000,3,1.614400,1,-2.255300,25.600875,3.850859,2.573141,-33.892475,sh.605286.SZ,2025-03-19
2025-03-20,sh.605286,44.5800,44.9900,43.5300,44.1200,44.6400,2488105,109780652.0000,3,1.481000,1,-1.164900,25.302657,3.806001,2.543167,-33.497670,sh.605286.SZ,2025-03-20
2025-03-21,sh.605286,43.9000,44.3600,41.0000,41.5000,44.1200,4352800,184221142.0000,3,2.591000,1,-5.938300,23.800097,3.579987,2.392145,-31.508461,sh.605286.SZ,2025-03-21
2025-03-24,sh.605286,41.5000,43.2800,40.2000,41.3000,41.5000,3453600,143234799.0000,3,2.055700,1,-0.481900,23.685398,3.562734,2.380616,-31.356613,sh.605286.SZ,2025-03-24
2025-03-25,sh.605286,41.3000,41.9900,40.0000,40.3600,41.3000,2201842,89913345.8200,3,1.310600,1,-2.276000,23.146311,3.481645,2.326433,-30.642928,sh.605286.SZ,2025-03-25
2025-03-26,sh.605286,40.3700,40.8000,39.8900,40.0400,40.3600,1585255,63941493.0500,3,0.943600,1,-0.792900,22.962792,3.454041,2.307987,-30.399971,sh.605286.SZ,2025-03-26
2025-03-27,sh.605286,40.3000,40.3000,39.1400,39.5500,40.0400,1096200,43378953.0000,3,0.652500,1,-1.223800,22.681779,3.411771,2.279743,-30.027943,sh.605286.SZ,2025-03-27
2025-03-28,sh.605286,39.6000,40.4800,39.5000,39.8500,39.5500,1719300,68839050.0000,3,1.023400,1,0.758500,22.853828,3.437650,2.297035,-30.255715,sh.605286.SZ,2025-03-28
2025-03-31,sh.605286,39.8500,39.8500,38.5000,39.4000,39.8500,1657942,64831450.2800,3,0.986900,1,-1.129200,22.595755,3.398831,2.271096,-29.914057,sh.605286.SZ,2025-03-31
2025-04-01,sh.605286,40.3800,41.6400,40.1000,40.9500,39.4000,2398500,97936606.0000,3,1.427700,1,3.934000,23.484674,3.532542,2.360442,-31.090879,sh.605286.SZ,2025-04-01
2025-04-02,sh.605286,40.6000,41.8000,40.1600,41.3500,40.9500,1726600,71253575.0000,3,1.027700,1,0.976800,23.714073,3.567048,2.383498,-31.394575,sh.605286.SZ,2025-04-02
2025-04-03,sh.605286,40.6900,41.7500,39.2700,39.8800,41.3500,2230600,89746536.0000,3,1.327700,1,-3.555000,22.871033,3.440238,2.298765,-30.278492,sh.605286.SZ,2025-04-03
2025-04-07,sh.605286,36.7100,37.7100,35.8900,35.8900,39.8800,1864900,67744166.0000,3,1.110100,1,-10.005000,20.582783,3.096042,2.068773,-27.249125,sh.605286.SZ,2025-04-07
2025-04-08,sh.605286,36.0000,36.2800,33.9000,35.2400,35.8900,3905700,136064051.4800,3,2.324800,1,-1.811100,20.210010,3.039970,2.031306,-26.755619,sh.605286.SZ,2025-04-08
2025-04-09,sh.605286,34.8900,35.1300,31.7500,34.9900,35.2400,3880600,129762007.0000,3,2.309900,1,-0.709400,20.066636,3.018404,2.016895,-26.565809,sh.605286.SZ,2025-04-09
2025-04-10,sh.605286,36.0000,36.2000,34.3400,34.8600,34.9900,3140200,110485389.0000,3,1.869200,1,-0.371500,19.992082,3.007189,2.009402,-26.467108,sh.605286.SZ,2025-04-10
2025-04-11,sh.605286,34.8600,35.3800,34.0000,35.2700,34.8600,3276600,113792308.0000,3,1.950400,1,1.176100,20.227215,3.042558,2.033035,-26.778396,sh.605286.SZ,2025-04-11
2025-04-14,sh.605286,35.4000,36.0900,35.2000,35.7300,35.2700,2520705,89947163.7500,3,1.500400,1,1.304200,20.491023,3.082240,2.059550,-27.127646,sh.605286.SZ,2025-04-14
2025-04-15,sh.605286,35.9800,35.9900,34.6500,34.9900,35.7300,1473700,51707201.0000,3,0.877200,1,-2.071100,20.066636,3.018404,2.016895,-26.565809,sh.605286.SZ,2025-04-15
2025-04-16,sh.605286,35.2600,36.5600,34.7700,35.0400,34.9900,2851300,101531703.0000,3,1.697200,1,0.142900,20.095311,3.022717,2.019777,-26.603771,sh.605286.SZ,2025-04-16
2025-04-17,sh.605286,34.6700,35.9300,34.6700,35.7000,35.0400,2106100,74864873.0000,3,1.253600,1,1.883600,20.473818,3.079652,2.057821,-27.104869,sh.605286.SZ,2025-04-17
2025-04-18,sh.605286,35.6600,36.5600,35.1000,36.5100,35.7000,1506200,54244501.0000,3,0.896500,1,2.268900,20.938350,3.149526,2.104511,-27.719854,sh.605286.SZ,2025-04-18
2025-04-21,sh.605286,36.4800,36.8300,36.0100,36.7000,36.5100,1237350,45133154.5000,3,0.736500,1,0.520400,21.047315,3.165916,2.115463,-27.864109,sh.605286.SZ,2025-04-21
