date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-25,sz.300421,14.2300,15.4400,14.1000,14.8300,14.4400,42498361,633168616.7400,3,18.449900,1,2.700800,81.416555,3.491509,4.240130,-291.015133,sz.300421.SZ,2025-02-25
2025-02-26,sz.300421,15.1700,17.8000,15.1300,17.8000,14.8300,94677926,1622151904.2900,3,41.102800,1,20.027000,97.721826,4.190753,5.089299,-349.296654,sz.300421.SZ,2025-02-26
2025-02-27,sz.300421,17.3700,17.6600,16.1500,16.5100,17.8000,78039124,1314932387.1700,3,33.879400,1,-7.247200,90.639738,3.887041,4.720468,-323.982458,sz.300421.SZ,2025-02-27
2025-02-28,sz.300421,16.4300,16.5100,15.0000,15.0700,16.5100,47836305,736611963.1800,3,20.767300,1,-8.722000,82.734152,3.548014,4.308750,-295.724751,sz.300421.SZ,2025-02-28
2025-03-03,sz.300421,15.1200,15.2400,14.3300,14.5200,15.0700,34378356,503845602.4800,3,14.924800,1,-3.649600,79.714658,3.418524,4.151496,-284.931877,sz.300421.SZ,2025-03-03
2025-03-04,sz.300421,14.2700,15.0100,14.1800,14.7200,14.5200,30262356,447375298.9200,3,13.137900,1,1.377400,80.812656,3.465611,4.208679,-288.856559,sz.300421.SZ,2025-03-04
2025-03-05,sz.300421,14.6900,15.1500,14.6100,15.0500,14.7200,31942691,475759968.1900,3,13.867400,1,2.241800,82.624353,3.543305,4.303031,-295.332283,sz.300421.SZ,2025-03-05
2025-03-06,sz.300421,15.0100,15.6500,14.9500,15.3300,15.0500,39524185,608571147.5400,3,17.158800,1,1.860500,84.161550,3.609227,4.383088,-300.826837,sz.300421.SZ,2025-03-06
2025-03-07,sz.300421,15.1000,15.5700,15.0000,15.3500,15.3300,28384132,433883650.5100,3,12.322500,1,0.130500,84.271350,3.613936,4.388806,-301.219305,sz.300421.SZ,2025-03-07
2025-03-10,sz.300421,15.3300,15.5900,15.0800,15.5100,15.3500,27108605,416481627.0000,3,11.768700,1,1.042300,85.149748,3.651605,4.434552,-304.359050,sz.300421.SZ,2025-03-10
2025-03-11,sz.300421,15.1900,15.5300,14.8400,15.1000,15.5100,25004659,378291002.3500,3,10.855400,1,-2.643500,82.898852,3.555077,4.317327,-296.313453,sz.300421.SZ,2025-03-11
2025-03-12,sz.300421,15.0800,15.2700,14.8800,14.9800,15.1000,22306460,336412151.2000,3,9.684000,1,-0.794700,82.240053,3.526824,4.283017,-293.958644,sz.300421.SZ,2025-03-12
2025-03-13,sz.300421,14.9000,14.9600,14.0000,14.2300,14.9800,26938896,385359650.4000,3,11.695100,1,-5.006700,78.122561,3.350248,4.068580,-279.241089,sz.300421.SZ,2025-03-13
2025-03-14,sz.300421,14.1900,14.7900,14.0400,14.6800,14.2300,19596976,283694062.5200,3,8.507700,1,3.162300,80.593056,3.456194,4.197242,-288.071622,sz.300421.SZ,2025-03-14
2025-03-17,sz.300421,14.6500,15.0800,14.4400,15.0700,14.6800,19947580,295360722.6000,3,8.659900,1,2.656700,82.734152,3.548014,4.308750,-295.724751,sz.300421.SZ,2025-03-17
2025-03-18,sz.300421,15.0600,15.9400,14.9500,15.8500,15.0700,39898868,618012968.9300,3,17.321400,1,5.175800,87.016345,3.731653,4.531764,-311.031009,sz.300421.SZ,2025-03-18
2025-03-19,sz.300421,15.6500,17.4100,15.5800,16.7600,15.8500,53968710,893219984.6200,3,23.429600,1,5.741300,92.012236,3.945900,4.791947,-328.888310,sz.300421.SZ,2025-03-19
2025-03-20,sz.300421,16.6800,17.8900,16.5100,16.9300,16.7600,62384167,1073896262.7800,3,27.083000,1,1.014300,92.945534,3.985924,4.840553,-332.224289,sz.300421.SZ,2025-03-20
2025-03-21,sz.300421,16.9300,16.9900,15.6600,15.8000,16.9300,42283700,680200050.9100,3,18.356800,1,-6.674500,86.741845,3.719882,4.517468,-310.049839,sz.300421.SZ,2025-03-21
2025-03-24,sz.300421,15.7800,15.9200,14.4300,14.8800,15.8000,31444767,474523711.5500,3,13.651200,1,-5.822800,81.691054,3.503281,4.254426,-291.996304,sz.300421.SZ,2025-03-24
2025-03-25,sz.300421,15.0100,17.6400,15.0100,15.7400,14.8800,58408866,960037751.0500,3,25.357200,1,5.779600,86.412446,3.705755,4.500313,-308.872434,sz.300421.SZ,2025-03-25
2025-03-26,sz.300421,15.6200,18.8900,15.4300,18.8900,15.7400,47547707,856255142.4200,3,20.642000,1,20.012700,103.705915,4.447377,5.400948,-370.686168,sz.300421.SZ,2025-03-26
