date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-25,sh.603595,19.1400,19.5000,19.0800,19.2900,19.3100,3287200,63509245.6400,3,1.414200,1,-0.103600,-12.484771,2.969759,2.343667,-20.435232,sh.603595.SZ,2025-02-25
2025-02-26,sh.603595,19.3500,19.5200,19.2000,19.5200,19.2900,3674259,71244410.6200,3,1.580700,1,1.192300,-12.633630,3.005168,2.371611,-20.678887,sh.603595.SZ,2025-02-26
2025-02-27,sh.603595,19.5800,19.8500,18.9800,19.3200,19.5200,3859731,74894859.3700,3,1.660500,1,-1.024600,-12.504187,2.974378,2.347312,-20.467013,sh.603595.SZ,2025-02-27
2025-02-28,sh.603595,19.2000,21.2500,19.1900,21.2500,19.3200,13798526,291739366.5000,3,5.936300,1,9.989600,-13.753311,3.271508,2.581800,-22.511596,sh.603595.SZ,2025-02-28
2025-03-03,sh.603595,21.4600,21.5600,19.6800,19.7600,21.2500,26262144,537034069.6800,3,11.298300,1,-7.011800,-12.788962,3.042117,2.400771,-20.933136,sh.603595.SZ,2025-03-03
2025-03-04,sh.603595,19.6600,21.7400,19.5300,21.7400,19.7600,10031320,212039779.8200,3,4.315600,1,10.020200,-14.070447,3.346945,2.641334,-23.030687,sh.603595.SZ,2025-03-04
2025-03-05,sh.603595,21.7400,22.8400,21.0000,21.3300,21.7400,25848555,559249363.3100,3,11.120400,1,-1.885900,-13.805089,3.283824,2.591520,-22.596345,sh.603595.SZ,2025-03-05
2025-03-06,sh.603595,21.4600,23.4600,21.1400,23.4600,21.3300,21547144,482812281.5100,3,9.269900,1,9.985900,-15.183656,3.611744,2.850308,-24.852802,sh.603595.SZ,2025-03-06
2025-03-07,sh.603595,23.2300,24.1800,22.4700,22.8800,23.4600,21047523,486728626.3800,3,9.054900,1,-2.472300,-14.808271,3.522451,2.779840,-24.238368,sh.603595.SZ,2025-03-07
2025-03-10,sh.603595,22.8100,23.2200,22.1800,22.4000,22.8800,12349895,278886293.0500,3,5.313100,1,-2.097900,-14.497608,3.448554,2.721521,-23.729870,sh.603595.SZ,2025-03-10
2025-03-11,sh.603595,21.6900,22.4700,21.6500,22.1200,22.4000,8999245,197789134.5800,3,3.871600,1,-1.250000,-14.316388,3.405447,2.687502,-23.433247,sh.603595.SZ,2025-03-11
2025-03-12,sh.603595,22.2200,23.3800,21.9300,23.1700,22.1200,15264759,346219610.5500,3,6.567100,1,4.746800,-14.995964,3.567098,2.815074,-24.545585,sh.603595.SZ,2025-03-12
2025-03-13,sh.603595,23.1000,23.1600,21.8000,22.0000,23.1700,10574346,235287637.3600,3,4.549200,1,-5.049600,-14.238722,3.386972,2.672923,-23.306123,sh.603595.SZ,2025-03-13
2025-03-14,sh.603595,22.0100,22.1900,21.2200,22.0000,22.0000,8178765,177759333.8800,3,3.518600,1,0.000000,-14.238722,3.386972,2.672923,-23.306123,sh.603595.SZ,2025-03-14
2025-03-17,sh.603595,21.5300,22.1100,21.3300,21.7200,22.0000,6765564,146689610.4900,3,2.910600,1,-1.272700,-14.057502,3.343866,2.638904,-23.009499,sh.603595.SZ,2025-03-17
2025-03-18,sh.603595,21.7100,22.9900,21.7000,22.0900,21.7200,9037964,202103152.0700,3,3.888300,1,1.703500,-14.296972,3.400828,2.683857,-23.401466,sh.603595.SZ,2025-03-18
2025-03-19,sh.603595,21.9900,22.2100,21.4500,21.6900,22.0900,6751900,146690567.0000,3,2.904800,1,-1.810800,-14.038086,3.339247,2.635259,-22.977718,sh.603595.SZ,2025-03-19
2025-03-20,sh.603595,21.6400,22.0700,21.3500,21.7500,21.6900,5228500,114101573.0600,3,2.249400,1,0.276600,-14.076919,3.348484,2.642549,-23.041280,sh.603595.SZ,2025-03-20
2025-03-21,sh.603595,21.7400,21.8200,20.7000,20.7800,21.7500,6226492,131526430.8000,3,2.678700,1,-4.459800,-13.449121,3.199149,2.524697,-22.013692,sh.603595.SZ,2025-03-21
2025-03-24,sh.603595,20.9700,21.0000,19.8500,20.4200,20.7800,5180381,105750924.5900,3,2.228700,1,-1.732400,-13.216123,3.143726,2.480958,-21.632319,sh.603595.SZ,2025-03-24
2025-03-25,sh.603595,20.4700,20.6500,20.0000,20.4200,20.4200,3225493,65808929.1800,3,1.387700,1,0.000000,-13.216123,3.143726,2.480958,-21.632319,sh.603595.SZ,2025-03-25
2025-03-26,sh.603595,20.3400,20.9200,20.2000,20.5500,20.4200,3247710,67252633.1000,3,1.397200,1,0.636600,-13.300261,3.163740,2.496753,-21.770037,sh.603595.SZ,2025-03-26
2025-03-27,sh.603595,20.7200,20.7200,20.1100,20.4800,20.5500,2920800,59828647.8000,3,1.256600,1,-0.340600,-13.254956,3.152963,2.488248,-21.695882,sh.603595.SZ,2025-03-27
2025-03-28,sh.603595,20.5100,20.8400,20.2400,20.2600,20.4800,2715789,55559457.8300,3,1.168400,1,-1.074200,-13.112569,3.119094,2.461519,-21.462820,sh.603595.SZ,2025-03-28
2025-03-31,sh.603595,20.0100,20.3000,19.7600,20.2300,20.2600,3378000,67562411.0000,3,1.453300,1,-0.148100,-13.093152,3.114475,2.457874,-21.431039,sh.603595.SZ,2025-03-31
2025-04-01,sh.603595,20.5000,20.9800,20.2700,20.6400,20.2300,3572000,73801265.0000,3,1.536700,1,2.026700,-13.358510,3.177596,2.507688,-21.865381,sh.603595.SZ,2025-04-01
2025-04-02,sh.603595,20.5700,20.8200,20.3600,20.6400,20.6400,2433090,50281747.0000,3,1.046700,1,0.000000,-13.358510,3.177596,2.507688,-21.865381,sh.603595.SZ,2025-04-02
2025-04-03,sh.603595,20.2000,20.7400,19.8300,20.0600,20.6400,3084990,62412856.5000,3,1.327200,1,-2.810100,-12.983126,3.088303,2.437220,-21.250946,sh.603595.SZ,2025-04-03
2025-04-07,sh.603595,18.0500,18.0500,18.0500,18.0500,20.0600,1062000,19169100.0000,3,0.456900,1,-10.019900,-11.682225,2.778857,2.193012,-19.121614,sh.603595.SZ,2025-04-07
2025-04-08,sh.603595,16.8700,17.2000,16.2500,16.2500,18.0500,5450435,89700614.7300,3,2.344900,1,-9.972300,-10.517238,2.501741,1.974318,-17.214750,sh.603595.SZ,2025-04-08
2025-04-09,sh.603595,14.9000,16.2400,14.6300,16.0200,16.2500,9590948,146847162.4800,3,4.126200,1,-1.415400,-10.368379,2.466332,1.946374,-16.971095,sh.603595.SZ,2025-04-09
2025-04-10,sh.603595,16.7800,17.6200,16.7000,17.6200,16.0200,4666535,80686147.7000,3,2.007600,1,9.987500,-11.403922,2.712657,2.140768,-18.666086,sh.603595.SZ,2025-04-10
2025-04-11,sh.603595,17.0000,17.7300,17.0000,17.3000,17.6200,7452989,130007763.2100,3,3.206400,1,-1.816100,-11.196814,2.663392,2.101889,-18.327087,sh.603595.SZ,2025-04-11
2025-04-14,sh.603595,18.2000,18.5000,17.7500,17.7500,17.3000,6920009,125247574.6500,3,2.977100,1,2.601200,-11.488060,2.732671,2.156563,-18.803804,sh.603595.SZ,2025-04-14
2025-04-15,sh.603595,17.7500,18.0900,17.4400,17.6200,17.7500,3532200,62562586.0000,3,1.519600,1,-0.732400,-11.403922,2.712657,2.140768,-18.666086,sh.603595.SZ,2025-04-15
2025-04-16,sh.603595,17.6200,17.6300,16.8100,17.1800,17.6200,3167268,54429693.1600,3,1.362600,1,-2.497200,-11.119148,2.644918,2.087310,-18.199963,sh.603595.SZ,2025-04-16
2025-04-17,sh.603595,17.1800,17.6000,17.0100,17.2900,17.1800,2503353,43488705.6900,3,1.077000,1,0.640300,-11.190341,2.661852,2.100674,-18.316494,sh.603595.SZ,2025-04-17
2025-04-18,sh.603595,17.2800,17.3200,16.9200,17.2300,17.2900,2221200,38058208.0000,3,0.955600,1,-0.347000,-11.151508,2.652615,2.093385,-18.252932,sh.603595.SZ,2025-04-18
2025-04-21,sh.603595,17.4800,18.2500,17.2300,18.0900,17.2300,5529609,99109533.2800,3,2.378900,1,4.991300,365.072834,2.688632,2.122871,-403.102097,sh.603595.SZ,2025-04-21
2025-04-22,sh.603595,17.9100,18.2000,17.7200,17.8100,18.0900,3329890,59499368.3700,3,1.432600,1,-1.547800,359.422177,2.647017,2.090012,-396.862816,sh.603595.SZ,2025-04-22
2025-04-23,sh.603595,17.9800,18.4200,17.9800,18.2000,17.8100,3922100,71630964.0000,3,1.687300,1,2.189800,367.292735,2.704981,2.135779,-405.553243,sh.603595.SZ,2025-04-23
2025-04-24,sh.603595,18.1000,18.2800,17.7900,18.0200,18.2000,2828868,51069228.0000,3,1.217000,1,-0.989000,363.660170,2.678228,2.114656,-401.542276,sh.603595.SZ,2025-04-24
2025-04-25,sh.603595,17.9800,18.1300,17.7600,17.9000,18.0200,2368500,42488048.0000,3,1.019000,1,-0.665900,361.238459,2.660393,2.100574,-398.868299,sh.603595.SZ,2025-04-25
