date,open,close,low,high,volume,amount,change_pct,stock_code,code,trade_date,preclose,pctChg,turn,tradestatus,adjustflag,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-01-02,8.66,8.7,8.76,8.56,278983.0,,,600392.SH,600392,2020-01-02,,,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-03,8.65,8.68,8.86,8.63,269494.0,,-0.2298850574712574,600392.SH,600392,2020-01-03,8.7,-0.2298850574712574,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-06,8.62,8.92,8.96,8.58,504994.0,,2.764976958525356,600392.SH,600392,2020-01-06,8.68,2.764976958525356,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-07,8.86,8.87,8.93,8.76,280492.0,,-0.5605381165919354,600392.SH,600392,2020-01-07,8.92,-0.5605381165919354,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-08,8.81,8.66,8.91,8.65,282025.0,,-2.367531003382173,600392.SH,600392,2020-01-08,8.87,-2.367531003382173,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-09,8.74,8.62,8.77,8.55,243987.0,,-0.4618937644341958,600392.SH,600392,2020-01-09,8.66,-0.4618937644341958,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-10,8.63,8.54,8.67,8.49,170135.0,,-0.9280742459396808,600392.SH,600392,2020-01-10,8.62,-0.9280742459396808,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-13,8.56,8.53,8.58,8.33,194987.0,,-0.1170960187353631,600392.SH,600392,2020-01-13,8.54,-0.1170960187353631,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-14,8.53,8.62,8.75,8.53,250615.0,,1.0550996483001065,600392.SH,600392,2020-01-14,8.53,1.0550996483001065,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-15,8.57,8.32,8.61,8.29,302464.0,,-3.480278422273775,600392.SH,600392,2020-01-15,8.62,-3.480278422273775,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-16,8.33,8.27,8.43,8.24,145920.0,,-0.6009615384615419,600392.SH,600392,2020-01-16,8.32,-0.6009615384615419,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-17,8.28,8.18,8.33,8.17,145452.0,,-1.0882708585247869,600392.SH,600392,2020-01-17,8.27,-1.0882708585247869,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-20,8.17,8.27,8.31,8.14,123966.0,,1.1002444987775029,600392.SH,600392,2020-01-20,8.18,1.1002444987775029,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-21,8.25,8.05,8.25,8.04,152487.0,,-2.6602176541716926,600392.SH,600392,2020-01-21,8.27,-2.6602176541716926,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-22,8.03,8.08,8.16,7.9,134415.0,,0.3726708074534013,600392.SH,600392,2020-01-22,8.05,0.3726708074534013,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-23,7.9,7.63,7.99,7.56,245047.0,,-5.569306930693074,600392.SH,600392,2020-01-23,8.08,-5.569306930693074,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-03,6.82,6.82,6.82,6.82,37592.0,,-10.615989515072076,600392.SH,600392,2020-02-03,7.63,-10.615989515072076,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-04,6.09,6.4,6.51,6.09,376267.0,,-6.158357771260992,600392.SH,600392,2020-02-04,6.82,-6.158357771260992,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-05,6.4,6.61,6.73,6.36,250362.0,,3.281249999999991,600392.SH,600392,2020-02-05,6.4,3.281249999999991,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-06,6.66,6.63,6.69,6.5,241867.0,,0.302571860816947,600392.SH,600392,2020-02-06,6.61,0.302571860816947,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-07,6.63,6.65,6.75,6.55,187893.0,,0.3016591251885359,600392.SH,600392,2020-02-07,6.63,0.3016591251885359,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-10,6.65,6.84,6.86,6.57,227871.0,,2.857142857142847,600392.SH,600392,2020-02-10,6.65,2.857142857142847,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-11,6.85,6.84,6.97,6.8,214811.0,,0.0,600392.SH,600392,2020-02-11,6.84,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-12,6.83,7.14,7.15,6.79,283689.0,,4.385964912280693,600392.SH,600392,2020-02-12,6.84,4.385964912280693,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-13,7.13,7.15,7.41,7.0,343318.0,,0.1400560224089631,600392.SH,600392,2020-02-13,7.14,0.1400560224089631,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-14,7.06,7.2,7.35,7.05,249653.0,,0.6993006993006867,600392.SH,600392,2020-02-14,7.15,0.6993006993006867,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-17,7.22,7.63,7.65,7.2,365735.0,,5.972222222222223,600392.SH,600392,2020-02-17,7.2,5.972222222222223,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-18,7.93,7.79,8.06,7.7,600112.0,,2.096985583224109,600392.SH,600392,2020-02-18,7.63,2.096985583224109,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-19,7.65,7.44,7.7,7.43,423198.0,,-4.49293966623876,600392.SH,600392,2020-02-19,7.79,-4.49293966623876,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-20,7.41,7.52,7.54,7.29,281658.0,,1.0752688172043,600392.SH,600392,2020-02-20,7.44,1.0752688172043,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-21,7.44,7.72,7.8,7.42,388742.0,,2.659574468085113,600392.SH,600392,2020-02-21,7.52,2.659574468085113,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-24,7.66,7.6,7.71,7.41,371729.0,,-1.5544041450777255,600392.SH,600392,2020-02-24,7.72,-1.5544041450777255,0.0,1,3,0.0,0.0,0.0,0.0
