date,open,close,low,high,volume,amount,change_pct,stock_code
2020-01-02,20.869,21.129,21.379,20.809,89018.0,,,601966.SH
2020-01-03,21.129,20.739,21.439,20.649,62568.0,,-1.8458043447394656,601966.SH
2020-01-06,20.479,20.649,21.079,20.429,66943.0,,-0.433964993490521,601966.SH
2020-01-07,20.679,20.639,20.829,20.419,59965.0,,-0.0484284953266578,601966.SH
2020-01-08,20.619,20.369,20.829,20.269,56866.0,,-1.3082029168079878,601966.SH
2020-01-09,20.619,21.549,21.599,20.559,137323.0,,5.793116991506708,601966.SH
2020-01-10,21.439,21.359,21.649,21.219,64444.0,,-0.8817114483270605,601966.SH
2020-01-13,21.389,21.669,21.819,21.089,74019.0,,1.4513788098693636,601966.SH
2020-01-14,21.869,21.609,22.019,21.499,62448.0,,-0.2768932576491689,601966.SH
2020-01-15,21.629,21.719,22.129,21.469,76566.0,,0.5090471562774646,601966.SH
2020-01-16,21.859,21.679,21.959,21.549,45151.0,,-0.1841705419218353,601966.SH
2020-01-17,21.809,21.479,21.809,21.349,58039.0,,-0.92255177821855,601966.SH
2020-01-20,21.489,21.549,21.709,21.339,51221.0,,0.3258997160016763,601966.SH
2020-01-21,21.599,20.849,21.599,20.479,94186.0,,-3.248410599099727,601966.SH
2020-01-22,20.569,21.039,21.099,20.509,53476.0,,0.9113146913521052,601966.SH
2020-01-23,20.999,20.029,21.149,19.549,101446.0,,-4.80060839393508,601966.SH
2020-02-03,17.819,17.819,18.149,17.819,64897.0,,-11.034000698986478,601966.SH
2020-02-04,17.779,18.369,18.399,17.569,99811.0,,3.0865929625680577,601966.SH
2020-02-05,18.869,19.329,19.759,18.769,124797.0,,5.226196308998854,601966.SH
2020-02-06,19.359,19.849,20.019,19.299,70749.0,,2.690258161312009,601966.SH
2020-02-07,19.849,20.319,20.689,19.599,108966.0,,2.3678774749357645,601966.SH
2020-02-10,20.089,20.749,20.989,20.089,113420.0,,2.11624587824204,601966.SH
2020-02-11,20.959,20.629,20.959,20.469,51679.0,,-0.5783411248734716,601966.SH
2020-02-12,20.709,21.019,21.069,20.449,74017.0,,1.890542440253995,601966.SH
2020-02-13,20.919,20.699,21.299,20.529,63691.0,,-1.5224320852561868,601966.SH
2020-02-14,20.759,20.919,21.049,20.589,45205.0,,1.0628532779361155,601966.SH
