date,open,close,low,high,volume,amount,change_pct,stock_code,code,trade_date,preclose,pctChg,turn,tradestatus,adjustflag,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-01-02,33.912,34.342,34.842,33.912,488438.0,,,002230.SZ,2230,2020-01-02,,,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-03,34.262,33.962,34.592,33.732,440194.0,,-1.1065168015840563,002230.SZ,2230,2020-01-03,34.342,-1.1065168015840563,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-06,33.602,36.022,36.932,33.512,1243364.0,,6.06560273246568,002230.SZ,2230,2020-01-06,33.962,6.06560273246568,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-07,36.012,36.052,36.122,35.512,497330.0,,0.0832824385098129,002230.SZ,2230,2020-01-07,36.022,0.0832824385098129,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-08,35.752,35.352,35.962,35.332,471253.0,,-1.941639853544885,002230.SZ,2230,2020-01-08,36.052,-1.941639853544885,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-09,35.882,35.842,36.142,35.542,464840.0,,1.3860601946141804,002230.SZ,2230,2020-01-09,35.352,1.3860601946141804,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-10,35.752,35.562,36.412,35.312,395859.0,,-0.7812064058925317,002230.SZ,2230,2020-01-10,35.842,-0.7812064058925317,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-13,35.652,36.292,36.582,35.502,501021.0,,2.0527529385299115,002230.SZ,2230,2020-01-13,35.562,2.0527529385299115,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-14,36.402,35.702,36.482,35.652,374736.0,,-1.6257026341893632,002230.SZ,2230,2020-01-14,36.292,-1.6257026341893632,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-15,35.612,35.582,36.002,35.102,343198.0,,-0.3361156237745688,002230.SZ,2230,2020-01-15,35.702,-0.3361156237745688,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-16,35.582,35.622,36.062,35.452,328340.0,,0.1124163903096997,002230.SZ,2230,2020-01-16,35.582,0.1124163903096997,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-17,35.812,35.262,35.862,35.162,312487.0,,-1.0106114199090466,002230.SZ,2230,2020-01-17,35.622,-1.0106114199090466,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-20,35.302,35.922,36.032,34.922,413089.0,,1.871703249957446,002230.SZ,2230,2020-01-20,35.262,1.871703249957446,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-21,35.872,35.332,36.252,35.282,349754.0,,-1.642447525193469,002230.SZ,2230,2020-01-21,35.922,-1.642447525193469,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-22,35.162,36.162,36.282,35.052,509162.0,,2.349145250764173,002230.SZ,2230,2020-01-22,35.332,2.349145250764173,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-23,35.662,34.492,35.902,33.702,649699.0,,-4.618107405563854,002230.SZ,2230,2020-01-23,36.162,-4.618107405563854,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-03,30.972,31.252,32.952,30.972,965165.0,,-9.39348254667749,002230.SZ,2230,2020-02-03,34.492,-9.39348254667749,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-04,31.852,34.452,34.452,31.802,1066965.0,,10.239344681940343,002230.SZ,2230,2020-02-04,31.252,10.239344681940343,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-05,35.292,37.492,37.972,34.502,1592542.0,,8.823870892836405,002230.SZ,2230,2020-02-05,34.452,8.823870892836405,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-06,37.622,38.602,38.672,37.102,1309916.0,,2.9606316014082923,002230.SZ,2230,2020-02-06,37.492,2.9606316014082923,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-07,38.182,38.162,39.102,37.402,1074613.0,,-1.1398373141288,002230.SZ,2230,2020-02-07,38.602,-1.1398373141288,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-10,38.412,38.322,39.002,37.402,843043.0,,0.419265237670996,002230.SZ,2230,2020-02-10,38.162,0.419265237670996,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-11,38.702,37.132,38.982,36.992,834440.0,,-3.10526590470227,002230.SZ,2230,2020-02-11,38.322,-3.10526590470227,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-12,37.182,38.602,38.652,36.902,1045693.0,,3.958849509856721,002230.SZ,2230,2020-02-12,37.132,3.958849509856721,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-13,38.402,37.722,38.802,37.502,746579.0,,-2.2796746282575886,002230.SZ,2230,2020-02-13,38.602,-2.2796746282575886,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-14,37.502,37.662,38.442,37.352,625187.0,,-0.1590583744234153,002230.SZ,2230,2020-02-14,37.722,-0.1590583744234153,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-17,37.662,38.842,38.962,37.602,949270.0,,3.133131538420697,002230.SZ,2230,2020-02-17,37.662,3.133131538420697,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-18,39.012,39.352,39.822,38.432,970618.0,,1.3130116883785623,002230.SZ,2230,2020-02-18,38.842,1.3130116883785623,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-19,39.012,37.962,39.012,37.922,844778.0,,-3.532221996340701,002230.SZ,2230,2020-02-19,39.352,-3.532221996340701,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-20,38.182,38.312,38.572,37.452,616137.0,,0.9219746061851276,002230.SZ,2230,2020-02-20,37.962,0.9219746061851276,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-21,38.352,40.642,41.522,38.352,1434691.0,,6.081645437460859,002230.SZ,2230,2020-02-21,38.312,6.081645437460859,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-24,41.292,41.702,42.492,40.652,1154101.0,,2.608139363220308,002230.SZ,2230,2020-02-24,40.642,2.608139363220308,0.0,1,3,0.0,0.0,0.0,0.0
